sim,final_return_pct,max_dd_pct,phase1_outcome,phase1_days,phase1_return_pct,phase2_outcome,phase2_days,phase2_return_pct
171,492.53407998367254,5.281972668097,passed,24,8.273291578825637,passed,22,6.813395535965694
172,563.6954363617918,5.488840848115073,passed,30,8.284231501307882,passed,29,7.606399210497883
173,575.5491165024508,3.5267424448908042,passed,15,8.257626769453408,passed,11,5.933335854000821
174,601.6883585099373,3.4330657368876056,passed,25,8.166586766194284,passed,11,5.744540184142544
175,664.7643530852331,4.563013998499266,passed,17,8.595580596837937,passed,13,5.067878866758524
176,559.8578933113656,6.358351576441117,passed,35,8.89775062963536,passed,30,5.533107526804559
177,495.0736945753209,4.431231324871086,passed,10,8.806832503976004,passed,10,6.97105654656287
178,637.8026539765056,5.24794344176796,passed,21,9.181413213649826,passed,19,5.501089187788799
179,601.5228380240695,4.701913167586291,passed,44,8.562459177390025,passed,40,5.023322937006913
180,571.6322798544861,6.318284754169869,passed,41,8.267220209148318,passed,19,5.567827597932284
181,650.2349503068078,6.6925287114991034,passed,15,8.055660686057564,passed,11,5.262784932457754
182,505.4140933117239,7.3804778841943115,passed,45,8.348600706290554,passed,45,6.096031755494491
183,488.26471557238193,10.290494612458986,passed,46,8.213865654572805,passed,46,6.756159837236009
184,586.9984685757948,5.619623733766585,passed,46,8.21658666498195,passed,46,6.607664385197465
185,613.5796040672636,3.6818963696194382,passed,31,8.305523589475472,passed,12,5.400665471015853
186,561.7509080055537,5.423150400538997,passed,47,8.909206308810846,passed,41,5.241280220906486
187,522.6805102145069,6.963951136533978,passed,20,8.248854791514692,passed,19,7.291020531011383
188,654.05101513804,4.5403655067761335,passed,19,8.298476657174913,passed,18,5.349159254681202
189,499.47807657150065,6.639706959558588,passed,11,9.03521852609872,passed,11,5.9850633345026605
190,512.5727744622263,5.948000478788389,passed,19,8.277808862663028,passed,16,5.34996075698233
191,514.0749169356363,9.25456185765564,passed,80,8.551987470921919,passed,76,6.126947380069359
192,571.3840354385587,4.996880397163596,passed,33,8.31209813235889,passed,15,5.222964161975785
193,589.6471532871944,4.810909764677835,passed,44,8.517224789757115,passed,34,5.1214266512553674
194,476.10703975881086,5.657543040016472,passed,73,8.886064804454264,passed,19,5.074798296099048
195,579.0581449804021,8.858097200870942,passed,11,9.084374658206862,passed,4,5.0206872839958505
196,584.0736395074372,5.625323941119579,passed,9,9.096250709919062,passed,5,5.4480520798559695
197,609.6838381522541,4.756921447522481,passed,18,8.246604709567706,passed,10,5.017776788622275
198,484.5166322368183,6.9297966230417565,passed,55,8.09010507661685,passed,50,5.1586033699849265
199,520.6240001495871,6.646725873268157,passed,8,8.005774983874026,passed,4,5.139963638386713
200,628.6857651523322,4.106304314940538,passed,6,8.77444754447314,passed,6,6.499514574426435
201,554.4224255185181,5.724361731364286,passed,13,8.253090765227867,passed,11,6.20240131694072
202,541.5662153886267,6.075393923148025,passed,13,8.225756962146026,passed,11,5.432114240282604
203,574.75540198815,5.963578812953594,passed,27,10.751854950105999,passed,4,5.385612920816318
204,552.8433415417072,7.261152839809884,passed,40,9.743016532757043,passed,3,5.572601694849211
205,608.2058599303475,5.14779017413381,passed,56,8.568581754699034,passed,36,5.046604376034458
206,462.22492490230104,7.050662197284567,passed,40,8.184701508794001,passed,32,5.171508637523847
207,611.4423212542982,5.634381180430959,passed,60,8.01624811148316,passed,10,5.318095554373148
208,597.5147621318597,5.439844525868703,passed,35,8.642175020555133,passed,17,5.941305199304492
209,527.6202099221639,6.811098162725167,passed,9,8.965667057939708,passed,6,5.123380359209051
210,533.3226407287361,4.420248306033954,passed,11,8.090414435406101,passed,6,5.2532041950944075
211,596.8311758888161,5.085608028269788,passed,10,8.266365547875342,passed,9,5.214421889405374
212,544.9136652593616,3.653532077489573,passed,24,8.525287857025354,passed,7,5.507553730952641
213,617.23700031807,4.622282382386176,passed,22,8.701201513446332,passed,15,5.017823595902171
214,571.3259271900802,6.895975282744471,passed,12,8.32126105865958,passed,6,5.013479687984246
215,624.3460443675057,5.533856446835079,passed,44,8.496281772486935,passed,20,5.358736523719587
216,598.2321239110347,3.7455120239900226,passed,33,8.251129557704706,passed,31,5.748375139260342
217,604.9054094388006,4.950540139547273,passed,22,8.171469750400018,passed,21,5.018577209919228
218,580.5036558307437,4.301351679678405,passed,33,9.939860843955417,passed,13,5.0038044998466535
219,500.1475919492435,6.089079246844125,passed,19,8.584205899294695,passed,15,5.423475963681401
220,602.5545187701686,5.099182252179553,passed,16,8.017830575135765,passed,15,6.702627247382287
221,529.4969655247269,4.408543925503818,passed,19,8.289542352956204,passed,5,5.046231358938558
222,528.5851904991662,4.70147419985139,passed,20,8.129375471891409,passed,19,6.083095908002356
223,637.4228263868699,4.478849966569431,passed,8,8.490344545231698,passed,5,5.058671721087338
224,557.0837824842587,7.116732121030508,passed,19,8.003731942622627,passed,17,6.361688498495899
225,529.7495200366594,5.569687006825393,passed,35,8.551886641704542,passed,25,5.331457819466379
226,652.403356832234,4.922071564196116,passed,14,8.228168856511964,passed,10,5.015738582478035
227,579.1261581326322,7.749014715047167,passed,9,9.197494578686506,passed,8,5.793703665147687
228,607.3173752736465,11.18346309424241,passed,55,8.061829458124127,passed,11,6.96965130049656
229,633.3889234766134,4.196541222706786,passed,39,8.50878515647917,passed,30,5.236559091671489
230,621.505616052593,2.9917277776428377,passed,40,8.284158852649481,passed,24,5.299348537176107
231,642.7942827078936,4.322741950975515,passed,10,8.307057596573419,passed,3,5.248812050640583
232,517.7830518704243,5.37341375401408,passed,43,8.09537893564305,passed,11,5.451985061726927
233,582.2984786388923,4.928093210584115,passed,16,8.706325671617886,passed,9,5.188827386412842
234,532.9266503219192,6.164479749245755,passed,35,8.341480451508598,passed,11,5.527136201548188
235,520.9203406317592,3.6458315650548396,passed,14,8.06098419413166,passed,12,5.62660358121756
236,523.5257485732275,5.542677123917135,passed,7,8.350115628859655,passed,4,5.5591455462854045
237,564.4520692218223,8.104466404084642,passed,32,8.267638212873818,passed,30,5.561212940655924
238,517.7855403174109,5.859661917727759,passed,56,8.21093664073147,passed,52,5.418461626846849
239,501.2988411183642,5.100496115788944,passed,18,9.002006708723842,passed,12,5.6358482451275504
240,515.9221316387628,10.100250108392556,passed,54,8.092860489667931,passed,50,5.139111210858571
241,587.0798201779895,4.608483079116599,passed,21,8.013865478762261,passed,14,6.418833154502956
242,549.7159611482045,5.464199839318244,passed,12,9.563874757160873,passed,7,6.098505299559531
243,556.7714046320692,6.526545183718029,passed,28,8.56449817226046,passed,15,5.086823810355967
244,612.6493714659134,3.961139291149841,passed,15,8.108752283582454,passed,14,5.25821362994745
245,563.5430648724342,6.266203910198611,passed,19,8.254533794542795,passed,6,6.050597518698919
246,551.7721124356251,5.57427566886066,passed,20,8.034152880821011,passed,10,5.40850753751807
247,553.5167278411941,8.172640662642184,passed,72,8.379635526580431,passed,11,5.378907602609262
248,621.9559683899977,4.132927751196428,passed,19,8.850215509839776,passed,14,5.409869258344369
249,495.6067582058686,7.96746099471895,passed,30,9.869245435487306,passed,23,5.012119985646035
250,465.2344281512062,7.085075210565404,passed,66,8.603863487719842,passed,64,5.243117945703291
251,558.2165624623556,7.880626528291526,passed,9,8.187009903560561,passed,3,5.274644489426894
252,571.9959915189294,5.423482436278282,passed,11,10.313501793102219,passed,10,5.254687644842515
253,589.9682920523456,7.94317146676353,passed,52,8.443189401829244,passed,46,5.786098671323003
254,501.9458097831839,4.4448471681711945,passed,11,8.918568053407627,passed,8,5.000601719414743
255,506.18686556821547,5.223833749507783,passed,46,8.930153184983247,passed,25,6.043709682151954
256,492.6533925439225,6.789646169367207,passed,19,8.459138209923722,passed,15,5.478143281187542
257,567.3867613585127,3.6160246690180253,passed,11,8.059698364538681,passed,10,6.173008379335521
258,538.8764164073748,4.325304757493489,passed,22,8.517218657658931,passed,19,5.607451801832575
259,524.6977989738505,3.8798350005653237,passed,6,8.860949860587253,passed,4,5.450348925669624
260,689.6428870570643,2.3905401444327,passed,19,8.00973689968596,passed,15,5.432925913784725
261,603.4631338451012,5.03449915114587,passed,22,8.266685404225438,passed,9,7.802850557446583
262,665.7298697071467,4.018623076841988,passed,44,8.070785384860857,passed,14,5.040094009651885
263,544.6315948400096,4.504708901637646,passed,59,8.026889167702201,passed,35,5.0354832934481175
264,574.708816087099,8.397712278976108,passed,41,8.138190718463377,passed,6,5.259319492240078
265,611.4525931731025,7.938591689501329,passed,12,8.14717435872383,passed,7,5.306216586197743
266,543.6078335236307,13.482117383009328,passed,20,8.578728190648267,passed,15,5.290114542940194
267,531.8970899350701,4.7534212889503715,passed,33,8.009786665072038,passed,25,5.720883456173742
268,586.8544961206353,5.279454127184822,passed,53,8.58928823360905,passed,10,5.018546932762691
269,668.639753192743,3.320003593459955,passed,22,8.144885157302607,passed,19,5.369956394846143
270,581.2659031371311,5.121610143761849,passed,31,8.645698915308841,passed,25,5.009247829597463
271,536.1310446948921,5.557615398661618,passed,64,9.08181710870586,passed,61,5.100343754137349
272,505.2695647778353,6.664084084753396,passed,55,9.720731681776895,passed,6,5.019053550579766
273,550.1432894256448,5.069703327347839,passed,69,8.072216386126208,passed,56,5.018716831037318
274,570.2835163500779,5.150063847401879,passed,30,8.930913925799967,passed,19,6.287294605216087
275,599.8017122466455,5.1173370662763045,passed,48,8.838889992579624,passed,21,5.047210891026599
276,632.1590413253178,4.074947801871243,passed,16,8.02752989523572,passed,11,5.8604559230367
277,548.4544583768816,4.315025414629274,passed,11,8.208156250435273,passed,11,6.107870533333859
278,512.2934467013569,6.692909490626654,passed,27,8.783856947996282,passed,19,5.009772082958652
279,552.9070629649809,5.648353846871332,passed,10,8.474839652888132,passed,8,5.149628877996659
